referrer,views_total,views_unique
linkedin.com,279,214
Google,69,19
com.linkedin.android,61,48
github.com,41,12
DuckDuckGo,16,2
lnkd.in,15,14
cn.bing.com,15,4
Bing,6,1
jasonmcewen.org,3,1
statics.teams.cdn.office.net,2,2
