referrer,views_total,views_unique
Google,27,8
chatgpt.com,16,2
cn.bing.com,12,2
astro-informatics.github.io,10,2
arxiv.org,9,1
Bing,8,2
search.brave.com,5,1
linkedin.com,2,1
lnkd.in,2,1
