time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-03 00:00:00+00:00,4.0,4.0,17,3
2025-05-04 00:00:00+00:00,14.0,6.0,14,1
2025-05-05 00:00:00+00:00,6.0,4.0,12,7
2025-05-06 00:00:00+00:00,2.0,2.0,20,8
2025-05-07 00:00:00+00:00,6.0,3.0,18,4
2025-05-08 00:00:00+00:00,3.0,3.0,11,4
2025-05-09 00:00:00+00:00,4.0,3.0,11,4
2025-05-10 00:00:00+00:00,9.0,6.0,40,5
2025-05-11 00:00:00+00:00,19.0,7.0,15,3
2025-05-12 00:00:00+00:00,6.0,4.0,38,6
2025-05-13 00:00:00+00:00,4.0,3.0,21,5
2025-05-14 00:00:00+00:00,7.0,3.0,264,175
2025-05-15 00:00:00+00:00,15.0,10.0,234,150
2025-05-16 00:00:00+00:00,,,94,62
