url_path,views_total,views_unique
/astro-informatics/s2fft,44,29
/astro-informatics/s2fft/pulls,13,11
/astro-informatics/s2fft/issues,9,9
/astro-informatics/s2fft/tree/main/examples,7,5
/astro-informatics/s2fft/tree/main/s2fft,6,3
/astro-informatics/s2fft/blob/main/benchmarks/benchmarking.py,5,1
/astro-informatics/s2fft/tree/main,4,3
/astro-informatics/s2fft/tree/main/s2fft/sampling,3,1
/astro-informatics/s2fft/blob/main/examples/spherical_harmonic_transform.py,2,2
/astro-informatics/s2fft/releases,2,2
