time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-14 00:00:00+00:00,15,10,17,6
2026-03-15 00:00:00+00:00,63,20,4,3
2026-03-16 00:00:00+00:00,14,9,16,7
2026-03-17 00:00:00+00:00,57,15,81,4
2026-03-18 00:00:00+00:00,17,9,11,7
2026-03-19 00:00:00+00:00,109,25,40,8
2026-03-20 00:00:00+00:00,10,6,8,4
2026-03-21 00:00:00+00:00,23,13,2,2
2026-03-22 00:00:00+00:00,35,15,5,2
2026-03-23 00:00:00+00:00,22,15,23,4
2026-03-24 00:00:00+00:00,160,30,54,4
2026-03-25 00:00:00+00:00,59,15,19,7
2026-03-26 00:00:00+00:00,33,21,8,3
2026-03-27 00:00:00+00:00,21,16,16,4
