url_path,views_total,views_unique
/astro-informatics/s2fft,41,31
/astro-informatics/s2fft/issues,15,12
/astro-informatics/s2fft/pulls,11,10
/astro-informatics/s2fft/tree/main/s2fft,10,8
/astro-informatics/s2fft/blob/main/s2fft/transforms/spherical.py,10,4
/astro-informatics/s2fft/tree/main/s2fft/utils,4,3
/astro-informatics/s2fft/tree/main/s2fft/transforms,4,2
/astro-informatics/s2fft/blob/main/s2fft/utils/healpix_ffts.py,4,1
/astro-informatics/s2fft/tree/main,3,3
/astro-informatics/s2fft/blob/main/s2fft/sampling/s2_samples.py,3,2
