time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-01 00:00:00+00:00,11,10,1,1
2025-11-02 00:00:00+00:00,7,3,10,3
2025-11-03 00:00:00+00:00,27,12,23,8
2025-11-04 00:00:00+00:00,11,8,18,5
2025-11-05 00:00:00+00:00,10,7,9,3
2025-11-06 00:00:00+00:00,13,12,5,5
2025-11-07 00:00:00+00:00,27,22,53,11
2025-11-08 00:00:00+00:00,11,5,9,6
2025-11-09 00:00:00+00:00,36,14,12,6
2025-11-10 00:00:00+00:00,28,12,115,14
2025-11-11 00:00:00+00:00,57,16,55,6
2025-11-12 00:00:00+00:00,10,8,31,7
2025-11-13 00:00:00+00:00,14,9,37,10
2025-11-14 00:00:00+00:00,5,3,29,9
