url_path,views_total,views_unique
/astro-informatics/s2fft,10,7
/astro-informatics/s2fft/pull/290,6,1
/astro-informatics/s2fft/pulls,3,1
/astro-informatics/s2fft/blob/main/notebooks/spherical_harmonic_transform.ipynb,2,1
/astro-informatics/s2fft/actions/runs/11781776995/workflow,1,1
/astro-informatics/s2fft/blob/main/docs/assets/sax_logo.png,1,1
/astro-informatics/s2fft/blob/main/notebooks/JAX_CUDA_HEALPix.ipynb,1,1
/astro-informatics/s2fft/blob/main/notebooks/JAX_HEALPix_frontend.ipynb,1,1
/astro-informatics/s2fft/blob/main/notebooks/JAX_SSHT_frontend.ipynb,1,1
/astro-informatics/s2fft/blob/main/notebooks/plotting_functions.py,1,1
