time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-01 00:00:00+00:00,13,5,56.0,12.0
2025-04-02 00:00:00+00:00,21,8,86.0,8.0
2025-04-03 00:00:00+00:00,41,11,43.0,8.0
2025-04-04 00:00:00+00:00,53,11,95.0,9.0
2025-04-05 00:00:00+00:00,9,7,,
2025-04-06 00:00:00+00:00,10,5,75.0,3.0
2025-04-07 00:00:00+00:00,9,7,13.0,8.0
2025-04-08 00:00:00+00:00,14,4,23.0,10.0
2025-04-09 00:00:00+00:00,7,3,19.0,6.0
2025-04-10 00:00:00+00:00,1,1,33.0,8.0
2025-04-11 00:00:00+00:00,15,4,83.0,6.0
2025-04-12 00:00:00+00:00,4,2,1.0,1.0
2025-04-13 00:00:00+00:00,8,3,,
2025-04-14 00:00:00+00:00,3,3,19.0,5.0
