referrer,views_total,views_unique
Google,32,14
cn.bing.com,10,2
github.com,7,2
astro-informatics.github.io,3,1
dongaigc.com,2,1
medium.com,1,1
blog.csdn.net,1,1
Bing,1,1
DuckDuckGo,1,1
