time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-03 00:00:00+00:00,10.0,7.0,15,7
2025-02-04 00:00:00+00:00,,,15,9
2025-02-05 00:00:00+00:00,26.0,5.0,77,7
2025-02-06 00:00:00+00:00,4.0,3.0,30,8
2025-02-07 00:00:00+00:00,27.0,15.0,23,5
2025-02-08 00:00:00+00:00,99.0,47.0,12,3
2025-02-09 00:00:00+00:00,11.0,4.0,7,3
2025-02-10 00:00:00+00:00,3.0,2.0,15,3
2025-02-11 00:00:00+00:00,2.0,2.0,17,3
2025-02-12 00:00:00+00:00,10.0,4.0,40,7
2025-02-13 00:00:00+00:00,56.0,9.0,82,5
2025-02-14 00:00:00+00:00,5.0,2.0,11,3
2025-02-15 00:00:00+00:00,5.0,2.0,7,2
2025-02-16 00:00:00+00:00,6.0,1.0,2,1
