url_path,views_total,views_unique
/astro-informatics/s2fft,137,42
/astro-informatics/s2fft/pulls,51,6
/astro-informatics/s2fft/issues,44,8
/astro-informatics/s2fft/tree/main/s2fft,29,11
/astro-informatics/s2fft/issues/279,20,7
/astro-informatics/s2fft/blob/main/s2fft/utils/healpix_ffts.py,17,4
/astro-informatics/s2fft/tree/main/s2fft/transforms,15,8
/astro-informatics/s2fft/blob/main/s2fft/transforms/spherical.py,15,7
/astro-informatics/s2fft/actions,14,3
/astro-informatics/s2fft/issues/280,11,6
