time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-28 00:00:00+00:00,22,13,19.0,5.0
2025-08-29 00:00:00+00:00,11,5,51.0,4.0
2025-08-30 00:00:00+00:00,14,8,18.0,4.0
2025-08-31 00:00:00+00:00,17,7,14.0,4.0
2025-09-01 00:00:00+00:00,10,4,25.0,9.0
2025-09-02 00:00:00+00:00,8,2,15.0,6.0
2025-09-03 00:00:00+00:00,2,2,15.0,5.0
2025-09-04 00:00:00+00:00,21,10,50.0,4.0
2025-09-05 00:00:00+00:00,10,8,38.0,7.0
2025-09-06 00:00:00+00:00,14,10,11.0,4.0
2025-09-07 00:00:00+00:00,14,9,,
2025-09-08 00:00:00+00:00,15,6,14.0,6.0
2025-09-09 00:00:00+00:00,22,6,36.0,7.0
2025-09-10 00:00:00+00:00,5,4,24.0,9.0
