url_path,views_total,views_unique
/astro-informatics/s2fft,34,20
/astro-informatics/s2fft/pulls,11,6
/astro-informatics/s2fft/pull/371,7,2
/astro-informatics/s2fft/pull/371/changes,6,2
/astro-informatics/s2fft/tree/main/notebooks,5,4
/astro-informatics/s2fft/blob/main/notebooks/spherical_harmonic_transform.ipynb,5,2
/astro-informatics/s2fft/tree/main/s2fft,5,1
/astro-informatics/s2fft/fork,4,2
/astro-informatics/s2fft/blob/main/notebooks/JAX_CUDA_HEALPix.ipynb,3,3
/astro-informatics/s2fft/issues,3,3
