time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-09 00:00:00+00:00,22,6,36,7
2025-09-10 00:00:00+00:00,10,9,53,10
2025-09-11 00:00:00+00:00,6,5,66,4
2025-09-12 00:00:00+00:00,6,6,34,9
2025-09-13 00:00:00+00:00,5,5,7,2
2025-09-14 00:00:00+00:00,12,7,21,4
2025-09-15 00:00:00+00:00,16,16,11,3
2025-09-16 00:00:00+00:00,18,13,14,5
2025-09-17 00:00:00+00:00,16,13,25,6
2025-09-18 00:00:00+00:00,9,8,3,3
2025-09-19 00:00:00+00:00,46,18,7,4
2025-09-20 00:00:00+00:00,9,8,4,1
2025-09-21 00:00:00+00:00,10,6,32,2
2025-09-22 00:00:00+00:00,12,9,11,5
