time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-24 00:00:00+00:00,21,4,38.0,4.0
2025-02-25 00:00:00+00:00,19,4,58.0,8.0
2025-02-26 00:00:00+00:00,6,3,50.0,8.0
2025-02-27 00:00:00+00:00,4,3,7.0,4.0
2025-02-28 00:00:00+00:00,5,3,12.0,4.0
2025-03-01 00:00:00+00:00,8,6,,
2025-03-02 00:00:00+00:00,8,3,4.0,3.0
2025-03-03 00:00:00+00:00,3,3,26.0,5.0
2025-03-04 00:00:00+00:00,9,8,14.0,6.0
2025-03-05 00:00:00+00:00,6,4,50.0,6.0
2025-03-06 00:00:00+00:00,18,6,74.0,5.0
2025-03-07 00:00:00+00:00,4,3,32.0,4.0
2025-03-08 00:00:00+00:00,5,3,21.0,5.0
2025-03-09 00:00:00+00:00,8,3,12.0,3.0
