referrer,views_total,views_unique
github.com,55,8
Google,26,6
medium.com,2,1
DuckDuckGo,1,1
astro-informatics.github.io,1,1
jasonmcewen.org,1,1
m.facebook.com,1,1
pypi.org,1,1
sciencedirect.com,1,1
