url_path,views_total,views_unique
/astro-informatics/s2fft,86,39
/astro-informatics/s2fft/pulls,23,4
/astro-informatics/s2fft/tree/main/notebooks,17,7
/astro-informatics/s2fft/issues,17,5
/astro-informatics/s2fft/tree/main/s2fft,11,7
/astro-informatics/s2fft/issues/251,8,3
/astro-informatics/s2fft/tree/main,7,3
/astro-informatics/s2fft/blob/main/notebooks/spherical_harmonic_transform.ipynb,5,4
/astro-informatics/s2fft/blob/main/notebooks/spherical_rotation.ipynb,5,2
/astro-informatics/s2fft/issues/269,5,2
