referrer,views_total,views_unique
pypi.org,53,1
Google,33,11
astro-informatics.github.io,9,3
chatgpt.com,8,2
search.brave.com,5,1
Bing,2,2
github.com,2,2
ecosia.org,2,1
lnkd.in,2,1
DuckDuckGo,1,1
