referrer,views_total,views_unique
Google,30,8
github.com,28,6
astro-informatics.github.io,19,3
cn.bing.com,8,3
linkedin.com,5,3
t.co,1,1
medium.com,1,1
pypi.org,1,1
arxiv.org,1,1
Bing,1,1
