url_path,views_total,views_unique
/astro-informatics/s2fft,72,36
/astro-informatics/s2fft/tree/main/s2fft,26,13
/astro-informatics/s2fft/pulls,20,4
/astro-informatics/s2fft/blob/main/s2fft/sampling/s2_samples.py,12,5
/astro-informatics/s2fft/tree/main,10,5
/astro-informatics/s2fft/blob/main/s2fft/transforms/spherical.py,9,8
/astro-informatics/s2fft/blob/main/s2fft/utils/quadrature.py,9,2
/astro-informatics/s2fft/tree/main/s2fft/transforms,8,8
/astro-informatics/s2fft/tree/main/s2fft/utils,8,7
/astro-informatics/s2fft/tree/main/s2fft/sampling,7,5
