time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-14 00:00:00+00:00,12,7,21,4
2025-09-15 00:00:00+00:00,16,16,11,3
2025-09-16 00:00:00+00:00,18,13,14,5
2025-09-17 00:00:00+00:00,16,13,25,6
2025-09-18 00:00:00+00:00,9,8,3,3
2025-09-19 00:00:00+00:00,46,18,7,4
2025-09-20 00:00:00+00:00,9,8,4,1
2025-09-21 00:00:00+00:00,10,6,32,2
2025-09-22 00:00:00+00:00,20,17,11,5
2025-09-23 00:00:00+00:00,8,8,8,4
2025-09-24 00:00:00+00:00,8,7,5,4
2025-09-25 00:00:00+00:00,15,5,22,8
2025-09-26 00:00:00+00:00,5,5,4,4
2025-09-27 00:00:00+00:00,5,5,2,2
