url_path,views_total,views_unique
/astro-informatics/s2fft,98,33
/astro-informatics/s2fft/tree/main/notebooks,13,7
/astro-informatics/s2fft/tree/main/s2fft,10,6
/astro-informatics/s2fft/pull/302,8,4
/astro-informatics/s2fft/pulls,6,4
/astro-informatics/s2fft/tree/main/s2fft/precompute_transforms,6,4
/astro-informatics/s2fft/tree/main/lib,5,4
/astro-informatics/s2fft/tree/main/s2fft/transforms,5,4
/astro-informatics/s2fft/tree/main/benchmarks,5,3
/astro-informatics/s2fft/blob/main/s2fft/recursions/risbo.py,5,2
