time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-03 00:00:00+00:00,68,39,15,11
2026-07-04 00:00:00+00:00,28,16,2,2
2026-07-05 00:00:00+00:00,49,30,1,1
2026-07-06 00:00:00+00:00,51,34,4,4
2026-07-07 00:00:00+00:00,54,31,1,1
2026-07-08 00:00:00+00:00,23,16,1,1
2026-07-09 00:00:00+00:00,80,64,7,4
2026-07-10 00:00:00+00:00,150,79,35,14
2026-07-11 00:00:00+00:00,130,58,11,11
2026-07-12 00:00:00+00:00,109,58,15,12
2026-07-13 00:00:00+00:00,122,68,15,7
2026-07-14 00:00:00+00:00,222,100,10,6
2026-07-15 00:00:00+00:00,186,81,12,7
2026-07-16 00:00:00+00:00,40,21,23,13
