time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-18 00:00:00+00:00,83,41,18,7
2026-06-19 00:00:00+00:00,137,67,2,2
2026-06-20 00:00:00+00:00,94,56,11,3
2026-06-21 00:00:00+00:00,122,31,13,2
2026-06-22 00:00:00+00:00,94,30,1,1
2026-06-23 00:00:00+00:00,88,34,31,2
2026-06-24 00:00:00+00:00,75,40,6,5
2026-06-25 00:00:00+00:00,49,21,26,2
2026-06-26 00:00:00+00:00,35,14,12,2
2026-06-27 00:00:00+00:00,48,11,1,1
2026-06-28 00:00:00+00:00,30,16,4,4
2026-06-29 00:00:00+00:00,65,32,8,8
2026-06-30 00:00:00+00:00,42,32,20,11
2026-07-01 00:00:00+00:00,72,55,13,10
