url_path,views_total,views_unique
/astro-informatics/s2fft,100,41
/astro-informatics/s2fft/pulls,28,4
/astro-informatics/s2fft/pull/305,26,2
/astro-informatics/s2fft/issues,19,6
/astro-informatics/s2fft/pull/290,17,3
/astro-informatics/s2fft/issues/312,10,2
/astro-informatics/s2fft/actions,10,1
/astro-informatics/s2fft/tree/main/s2fft,9,4
/astro-informatics/s2fft/pull/305/files,9,2
/astro-informatics/s2fft/actions/runs/16031133124,7,2
