referrer,views_total,views_unique
github.com,82,6
Google,74,25
jasonmcewen.org,6,1
astro-informatics.github.io,5,2
pypi.org,5,1
chatgpt.com,2,2
DuckDuckGo,1,1
dongaigc.com,1,1
