time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-14 00:00:00+00:00,15,7,15,2
2026-02-15 00:00:00+00:00,27,13,4,4
2026-02-16 00:00:00+00:00,67,24,42,7
2026-02-17 00:00:00+00:00,59,19,49,10
2026-02-18 00:00:00+00:00,28,12,57,9
2026-02-19 00:00:00+00:00,45,31,22,5
2026-02-20 00:00:00+00:00,321,74,266,7
2026-02-21 00:00:00+00:00,23,13,20,4
2026-02-22 00:00:00+00:00,48,27,11,6
2026-02-23 00:00:00+00:00,291,45,96,7
2026-02-24 00:00:00+00:00,128,34,44,6
2026-02-25 00:00:00+00:00,70,16,48,10
2026-02-26 00:00:00+00:00,68,26,23,5
2026-02-27 00:00:00+00:00,16,10,34,6
