time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-06 00:00:00+00:00,10,10,27.0,1.0
2025-10-07 00:00:00+00:00,6,6,13.0,6.0
2025-10-08 00:00:00+00:00,3,3,10.0,5.0
2025-10-09 00:00:00+00:00,10,9,5.0,3.0
2025-10-10 00:00:00+00:00,5,5,9.0,2.0
2025-10-11 00:00:00+00:00,11,9,3.0,3.0
2025-10-12 00:00:00+00:00,13,8,4.0,4.0
2025-10-13 00:00:00+00:00,9,6,12.0,4.0
2025-10-14 00:00:00+00:00,32,17,7.0,5.0
2025-10-15 00:00:00+00:00,15,9,6.0,2.0
2025-10-16 00:00:00+00:00,5,5,10.0,3.0
2025-10-17 00:00:00+00:00,21,9,3.0,3.0
2025-10-18 00:00:00+00:00,3,3,5.0,5.0
2025-10-19 00:00:00+00:00,23,6,,
