time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-27 00:00:00+00:00,16,10,34,6
2026-02-28 00:00:00+00:00,16,7,5,2
2026-03-01 00:00:00+00:00,15,5,4,3
2026-03-02 00:00:00+00:00,69,17,20,7
2026-03-03 00:00:00+00:00,22,12,21,5
2026-03-04 00:00:00+00:00,15,9,18,5
2026-03-05 00:00:00+00:00,119,30,37,7
2026-03-06 00:00:00+00:00,61,21,7,3
2026-03-07 00:00:00+00:00,19,14,7,4
2026-03-08 00:00:00+00:00,19,5,12,2
2026-03-09 00:00:00+00:00,96,22,14,5
2026-03-10 00:00:00+00:00,62,14,52,8
2026-03-11 00:00:00+00:00,17,11,13,6
2026-03-12 00:00:00+00:00,152,33,43,4
