time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-31 00:00:00+00:00,21,7,27,5
2026-01-01 00:00:00+00:00,5,5,2,2
2026-01-02 00:00:00+00:00,18,10,2,2
2026-01-03 00:00:00+00:00,10,6,1,1
2026-01-04 00:00:00+00:00,14,6,13,5
2026-01-05 00:00:00+00:00,117,33,61,5
2026-01-06 00:00:00+00:00,45,18,75,5
2026-01-07 00:00:00+00:00,61,18,29,2
2026-01-08 00:00:00+00:00,34,12,63,5
2026-01-09 00:00:00+00:00,13,5,40,5
2026-01-10 00:00:00+00:00,14,6,2,2
2026-01-11 00:00:00+00:00,17,5,4,1
2026-01-12 00:00:00+00:00,7,7,4,3
2026-01-13 00:00:00+00:00,26,11,73,4
