time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-16 00:00:00+00:00,2,2,109,71
2025-05-17 00:00:00+00:00,8,6,50,37
2025-05-18 00:00:00+00:00,14,5,26,25
2025-05-19 00:00:00+00:00,5,5,67,38
2025-05-20 00:00:00+00:00,14,7,80,49
2025-05-21 00:00:00+00:00,4,4,61,44
2025-05-22 00:00:00+00:00,16,4,174,74
2025-05-23 00:00:00+00:00,89,12,120,18
2025-05-24 00:00:00+00:00,15,6,18,9
2025-05-25 00:00:00+00:00,18,4,15,14
2025-05-26 00:00:00+00:00,49,9,14,10
2025-05-27 00:00:00+00:00,26,6,27,7
2025-05-28 00:00:00+00:00,13,4,66,20
2025-05-29 00:00:00+00:00,4,3,21,9
