time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-28 00:00:00+00:00,40.0,4.0,68,9
2025-01-29 00:00:00+00:00,4.0,1.0,79,26
2025-01-30 00:00:00+00:00,2.0,2.0,29,9
2025-01-31 00:00:00+00:00,2.0,2.0,17,5
2025-02-01 00:00:00+00:00,4.0,4.0,4,4
2025-02-02 00:00:00+00:00,6.0,1.0,2,2
2025-02-03 00:00:00+00:00,10.0,7.0,15,7
2025-02-04 00:00:00+00:00,,,15,9
2025-02-05 00:00:00+00:00,26.0,5.0,77,7
2025-02-06 00:00:00+00:00,4.0,3.0,30,8
2025-02-07 00:00:00+00:00,27.0,15.0,23,5
2025-02-08 00:00:00+00:00,99.0,47.0,12,3
2025-02-09 00:00:00+00:00,11.0,4.0,7,3
2025-02-10 00:00:00+00:00,,,14,2
