time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-03 00:00:00+00:00,22,12,21,5
2026-03-04 00:00:00+00:00,15,9,18,5
2026-03-05 00:00:00+00:00,119,30,37,7
2026-03-06 00:00:00+00:00,61,21,7,3
2026-03-07 00:00:00+00:00,19,14,7,4
2026-03-08 00:00:00+00:00,19,5,12,2
2026-03-09 00:00:00+00:00,96,22,14,5
2026-03-10 00:00:00+00:00,62,14,52,8
2026-03-11 00:00:00+00:00,17,11,13,6
2026-03-12 00:00:00+00:00,152,33,43,4
2026-03-13 00:00:00+00:00,115,28,26,10
2026-03-14 00:00:00+00:00,15,10,17,6
2026-03-15 00:00:00+00:00,63,20,4,3
2026-03-16 00:00:00+00:00,14,9,16,7
