time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-26 00:00:00+00:00,54,8,197.0,41.0
2025-03-27 00:00:00+00:00,5,3,37.0,24.0
2025-03-28 00:00:00+00:00,56,7,138.0,6.0
2025-03-29 00:00:00+00:00,10,9,34.0,5.0
2025-03-30 00:00:00+00:00,16,8,37.0,3.0
2025-03-31 00:00:00+00:00,12,9,90.0,11.0
2025-04-01 00:00:00+00:00,13,5,56.0,12.0
2025-04-02 00:00:00+00:00,21,8,86.0,8.0
2025-04-03 00:00:00+00:00,41,11,43.0,8.0
2025-04-04 00:00:00+00:00,53,11,95.0,9.0
2025-04-05 00:00:00+00:00,9,7,,
2025-04-06 00:00:00+00:00,10,5,75.0,3.0
2025-04-07 00:00:00+00:00,9,7,13.0,8.0
2025-04-08 00:00:00+00:00,11,2,23.0,10.0
