referrer,views_total,views_unique
github.com,24,10
Google,18,9
astro-informatics.github.io,13,3
Bing,11,1
DuckDuckGo,4,1
jasonmcewen.org,3,1
linkedin.com,1,1
pypi.org,1,1
sciencedirect.com,1,1
