time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-28 00:00:00+00:00,51,12,19,5
2025-06-29 00:00:00+00:00,23,10,7,5
2025-06-30 00:00:00+00:00,18,12,13,8
2025-07-01 00:00:00+00:00,50,7,15,7
2025-07-02 00:00:00+00:00,50,13,39,8
2025-07-03 00:00:00+00:00,16,9,24,8
2025-07-04 00:00:00+00:00,15,9,22,7
2025-07-05 00:00:00+00:00,17,8,6,3
2025-07-06 00:00:00+00:00,15,4,7,4
2025-07-07 00:00:00+00:00,216,24,100,6
2025-07-08 00:00:00+00:00,90,11,82,7
2025-07-09 00:00:00+00:00,48,14,45,8
2025-07-10 00:00:00+00:00,17,7,35,9
2025-07-11 00:00:00+00:00,2,2,6,3
