time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-30 00:00:00+00:00,7,3,1,1
2025-12-01 00:00:00+00:00,36,11,21,7
2025-12-02 00:00:00+00:00,15,10,14,7
2025-12-03 00:00:00+00:00,140,41,41,8
2025-12-04 00:00:00+00:00,20,7,21,7
2025-12-05 00:00:00+00:00,25,16,1,1
2025-12-06 00:00:00+00:00,6,6,4,4
2025-12-07 00:00:00+00:00,13,5,11,2
2025-12-08 00:00:00+00:00,14,13,6,2
2025-12-09 00:00:00+00:00,17,11,30,6
2025-12-10 00:00:00+00:00,15,7,38,7
2025-12-11 00:00:00+00:00,9,5,22,7
2025-12-12 00:00:00+00:00,11,6,55,6
2025-12-13 00:00:00+00:00,3,2,3,3
