time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-28 00:00:00+00:00,28,16,1,1
2026-05-29 00:00:00+00:00,75,13,14,5
2026-05-30 00:00:00+00:00,43,15,2,2
2026-05-31 00:00:00+00:00,30,11,24,4
2026-06-01 00:00:00+00:00,92,33,38,5
2026-06-02 00:00:00+00:00,63,39,5,3
2026-06-03 00:00:00+00:00,333,93,21,3
2026-06-04 00:00:00+00:00,57,26,4,4
2026-06-05 00:00:00+00:00,183,90,20,6
2026-06-06 00:00:00+00:00,37,16,15,4
2026-06-07 00:00:00+00:00,58,19,13,3
2026-06-08 00:00:00+00:00,115,36,14,7
2026-06-09 00:00:00+00:00,41,31,1,1
2026-06-10 00:00:00+00:00,99,58,1,1
