time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-28 00:00:00+00:00,19,9,48,6
2025-04-29 00:00:00+00:00,35,12,79,9
2025-04-30 00:00:00+00:00,9,6,101,11
2025-05-01 00:00:00+00:00,5,5,4,2
2025-05-02 00:00:00+00:00,8,5,8,4
2025-05-03 00:00:00+00:00,4,4,17,3
2025-05-04 00:00:00+00:00,14,6,14,1
2025-05-05 00:00:00+00:00,6,4,12,7
2025-05-06 00:00:00+00:00,2,2,20,8
2025-05-07 00:00:00+00:00,6,3,18,4
2025-05-08 00:00:00+00:00,3,3,11,4
2025-05-09 00:00:00+00:00,4,3,11,4
2025-05-10 00:00:00+00:00,9,6,40,5
2025-05-11 00:00:00+00:00,14,4,15,3
