time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-07 00:00:00+00:00,9,7,13.0,8.0
2025-04-08 00:00:00+00:00,14,4,23.0,10.0
2025-04-09 00:00:00+00:00,7,3,19.0,6.0
2025-04-10 00:00:00+00:00,1,1,33.0,8.0
2025-04-11 00:00:00+00:00,15,4,83.0,6.0
2025-04-12 00:00:00+00:00,4,2,1.0,1.0
2025-04-13 00:00:00+00:00,8,3,,
2025-04-14 00:00:00+00:00,5,5,25.0,6.0
2025-04-15 00:00:00+00:00,7,3,43.0,8.0
2025-04-16 00:00:00+00:00,42,5,88.0,7.0
2025-04-17 00:00:00+00:00,7,5,5.0,3.0
2025-04-18 00:00:00+00:00,10,4,3.0,2.0
2025-04-19 00:00:00+00:00,4,4,10.0,1.0
2025-04-20 00:00:00+00:00,6,1,,
